GeneSymbol,GSM1498849,GSM1498850,GSM1498851,GSM1498852,GSM1498853,GSM1498854,GSM1498855,GSM1498856
SFT2D2,9.3962935,8.4282707,8.3607767,9.418778,7.22929385,7.2874117,7.87943535,7.90163475
SFTA2,10.594355,11.737588,11.71632,10.56846,13.588585,13.593988,10.755,10.773911
SFTPA1,6.93543775,7.0294618,6.9990275,6.99908065,6.4607508,6.4549763,6.83097745,6.63845535
SFTPA2,7.5347476,7.6793823,7.5840073,7.5532413,6.9437547,6.9942408,7.780798,7.8669133
SFTPC,5.1965067,5.1480235,5.0648855,5.05428925,4.81820485,4.9791598,4.4333552,4.2159605
SFXN1,7.526518,8.519229,8.552133,7.4591293,9.10418,9.082594,7.8866906,7.8818026
SFXN3,3.5372546,4.54434,4.444174,3.4873652,4.93548,4.9341307,2.526261,2.779373
SFXN4,8.291328,7.884324,7.9132905,8.343352,8.451944,8.466333,8.133083,8.165764
SFXN5,3.9198027,3.9944541,4.1570773,3.9391592,4.185034,4.2418647,2.9317951,2.3443875
SGCA,7.73382975,8.673628,8.64963575,7.781411,8.0419538,8.09307225,9.1388345,9.1055065
SGCB,9.717538,9.911852,9.909378,9.78178,10.516247,10.499647,10.700263,10.719222
SGCD,4.720763167,7.4133224,7.4600815,4.762686333,6.798568233,6.8436219,8.3368141,8.3511705
SGCE,7.750211333,12.13126567,12.15096933,7.7636136,12.52131033,12.523724,14.026336,14.03452633
SGF29,9.118444,9.154128,9.114101,9.13672,8.37298,8.333023,9.00415,8.925098
SGIP1,8.960537,9.130693,9.124842,8.9784775,9.110216,9.097098,8.633443,8.637896
SGK1,5.340998275,5.640677525,5.568135425,5.195413075,6.803273425,6.776402325,6.3449543,6.357332325
SGK3,7.9574299,8.533310667,8.537243667,7.9750262,8.650206,8.649670667,8.798421333,8.777069333
SGMS1,8.64302,7.947899,7.9802515,8.6594875,8.1736645,8.1524925,8.73922335,8.78244525
SGO1,7.83176075,7.45618785,7.487324825,7.7391259,7.2297005,7.279198625,6.814529925,6.86820155
SGO2,9.691348,9.2326,9.256585,9.706823,9.154921,9.204973,9.562477,9.572151
SGPL1,6.7441454,8.119393,8.134759,6.7925053,7.8295636,7.7883415,7.583101,7.615701
SGPP1,6.6175017,7.5897093,7.5602503,6.6836557,8.543456,8.541196,9.22247,9.158297
SGPP2,6.5128503,7.9336524,7.9506416,6.4587345,9.489557,9.461013,6.899089,6.904784
SGSH,9.484806,8.770378,8.732523,9.497698,8.57945,8.574119,7.7278266,7.7339
SGSM1,7.14684975,6.8931872,6.9443883,6.997684,6.6762525,6.777591,7.424354,7.3826225
SGSM2,5.25617245,3.9663243,3.9948076,5.3898387,4.4416267,4.26429405,4.25966015,4.4419283
SGTA,4.1064587,3.425837,3.6857338,3.8293478,5.1172347,5.1641245,3.5936244,3.8746936
SGTB,4.860684,8.171153,8.157758,4.598795,8.349261,8.346852,7.6659427,7.6840034
SH2B1,9.519772133,8.501940667,8.553034333,9.5449435,8.677964767,8.631663767,8.113401333,8.095115667
SH2B2,10.09542,9.4758,9.530096,10.12891,10.402553,10.377733,8.253969,8.238947
SH2B3,6.53337,5.82288,5.834096,6.5170093,6.166913,6.0786295,4.83763,5.0059156
SH2D1B,4.610199,4.2163496,5.1506352,4.6700354,4.270371,4.3288894,3.8777013,4.0416613
SH2D2A,7.5885813,7.937009,7.8525117,7.50037375,7.46665575,7.5137097,8.00701125,7.9657585
SH2D3A,8.152049,8.612687,8.560692,8.168243,7.5773582,7.5517287,6.737752,6.7820807
SH2D3C,5.559147033,6.1585241,6.237246133,5.649497533,6.185980833,6.1852191,7.4305155,7.471254667
SH2D4A,8.27948135,8.8101685,8.769844,8.2274035,9.132319,9.137,7.1547027,7.2403222
SH2D4B,5.7504063,5.8246274,5.768196,5.9358454,4.3769445,4.2212358,4.7038174,4.6268153
SH2D5,10.14686225,9.9018942,9.887362,10.0856615,9.3529425,9.38457115,9.4585445,9.4628662
SH2D6,8.911571,8.675872,8.689614,8.915359,8.328093,8.267719,8.505759,8.488338
SH2D7,10.675758,10.946343,10.943024,10.70178,11.129126,11.133791,10.773911,10.787131
SH3BGRL2,8.923709,8.315719,8.284809,8.938172,7.962023,7.984359,7.5801907,7.641654
SH3BGRL3,12.782892,14.12156,14.099397,12.804543,13.756361,13.741009,13.83667,13.825892
SH3BP2,4.8733303,4.5141301,4.75048305,5.3300397,3.99010265,4.08361685,4.933663,4.863477
SH3BP4,5.5887578,4.5264178,4.614858,5.4924055,5.7822915,5.67699,5.5948497,5.42252415
SH3BP5,4.1174507,5.076661,4.8325496,4.058933,6.6752844,6.631086,6.958698,7.045342
